Address Line 1,City,County,State Name,is_major_city,distance_to_nearest_major_city,distance_to_coast,Facility ID,BIOCO2,CH4,CO2,HFC,HFE,N2O,NF3,OTHER,OTHER_FULL,PFC,SF6,VERY_SHORT
1 Dent Drive,LEWISBURG,UNION,PENNSYLVANIA,no,186721.7241248381,173957.772296663,1010646,0.0,15.25,32008.0,0.0,0.0,18.774,0.0,0.0,0.0,0.0,0.0,0.0
1 ENERGY RD.,DARTMOUTH,BRISTOL,MASSACHUSETTS,no,38519.71848430199,8556.068007177662,1009167,0.0,23.75,50134.6,0.0,0.0,29.502,0.0,0.0,0.0,0.0,0.0,0.0
1 ESTATE HOPE,CHRISTIANSTED,SAINT,VIRGIN ISLANDS,no,161413.94660698567,460.283331387532,1006451,0.0,31785.0,4409629.1,0.0,0.0,9471.036,0.0,0.0,0.0,0.0,0.0,0.0
1 Eddy Street,FORT EDWARD,WASHINGTON,NEW YORK,no,229745.87971277084,211515.3383889522,1008767,0.0,14.5,30658.1,0.0,0.0,17.284,0.0,0.0,0.0,0.0,0.0,0.0
1 Elba Island Road,SAVANNAH,CHATHAM,GEORGIA,no,204679.63323415603,10670.939468822633,1001657,0.0,2480.25,46425.7,0.0,0.0,26.224,0.0,0.0,0.0,0.0,0.0,0.0
1 FAZIO LANE,MANKATO,BLUE,MINNESOTA,no,103709.92439129582,1238365.9621394102,1000437,0.0,70.75,147817.0,0.0,0.0,88.804,0.0,0.0,0.0,0.0,0.0,0.0
1 FRUIT OF THE LOOM DR,JAMESTOWN,RUSSELL,KENTUCKY,no,178043.14454998975,630120.4470749947,1004015,0.0,101.25,41473.6,0.0,0.0,175.82,0.0,0.0,0.0,0.0,0.0,0.0
1 Federal St.,YONKERS,WESTCHESTER,NEW YORK,no,9049.072419107277,308.19009396494914,1001861,0.0,37.5,79710.6,0.0,0.0,44.7,0.0,0.0,0.0,0.0,0.0,0.0
1 GILLETTE PARK,BOSTON,SUFFOLK,MASSACHUSETTS,yes,0.0,1668.347487401951,1002497,0.0,25.25,53625.6,0.0,0.0,30.992,0.0,0.0,0.0,0.0,0.0,0.0
1 GLEN STREET,GLENS FALLS,WARREN,NEW YORK,no,234949.90810667156,206164.4506307226,1006608,349227.5,4100.25,108764.4,0.0,0.0,6984.226,0.0,0.0,0.0,0.0,0.0,0.0
1 GOODYEAR BLVD.,LAWTON,COMANCHE,OKLAHOMA,no,258874.2384928351,631164.1743424719,1004793,0.0,237.5,38758.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 HANSEN ROAD,PUUNENE,MAUI,HAWAII,no,3762826.7791647036,4284.97709486875,1005265,426901.0,47531.0,126470.1,0.0,0.0,5150.93,0.0,0.0,0.0,0.0,0.0,0.0
1 HEILMAN AVENUE,WILLOW ISLAND,PLEASANTS,WEST VIRGINIA,no,158836.90382395653,355104.37737087643,1006142,0.0,19.0,40291.6,0.0,0.0,22.648,0.0,0.0,0.0,0.0,0.0,0.0
1 HILL STREET,WOBURN,MIDDLESEX,MASSACHUSETTS,no,17893.755281719965,12974.262682409415,1002142,0.0,17.25,36957.9,0.0,0.0,20.562,0.0,0.0,0.0,0.0,0.0,0.0
1 HORWITH DRIVE,NORTHAMPTON,NORTHAMPTON,PENNSYLVANIA,no,81956.54585775018,84703.99848985353,1006645,48190.8,3398.0,1070617.8,0.0,0.0,5695.376,0.0,0.0,0.0,0.0,0.0,0.0
1 Half Moon Bay Drive (Croton Point Park),CROTON-ON-HUDSON,WESTCHESTER,NEW YORK,no,38685.78519296714,194.43188505331076,1010845,0.0,43146.0,102.9,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0
1 INDECK DRIVE,SILVER SPRINGS,WYOMING,NEW YORK,no,293508.4774484685,370240.6891817176,1001240,0.0,3.25,7086.4,0.0,0.0,3.874,0.0,0.0,0.0,0.0,0.0,0.0
1 INTERNATIONAL DR.,FLAT ROCK,WAYNE,MICHIGAN,no,33479.78086821647,630501.1727454972,1001722,0.0,25.29532490749525,53646.3250638159,0.0,0.0,30.15202728973434,0.0,0.0,0.0,0.0,0.0,0.0
1 JACKSON ST.,WELLSBORO,TIOGA,PENNSYLVANIA,no,265330.98289345717,265307.0220663601,1002448,0.0,15.75,41483.3,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0
1 Knauf Drive,SHELBYVILLE,SHELBY,INDIANA,no,41850.840079125024,732334.6928029163,1002636,0.0,20.25,48962.7,0.0,0.0,24.138,0.0,0.0,0.0,0.0,0.0,0.0
1 LAKE PLACE DR,DULUTH,ST.,MINNESOTA,no,221817.45316962607,944876.1320045426,1006024,0.0,281.0,67000.5,0.0,0.0,486.634,0.0,0.0,0.0,0.0,0.0,0.0
1 LANDFILL WAY,MANCHESTER,HARTFORD,CONNECTICUT,no,94708.63823135538,47799.557530318074,1004184,806.0,38866.5,775.5,0.0,0.0,3.874,0.0,0.0,0.0,0.0,0.0,0.0
1 LEXAN LN,MOUNT VERNON,POSEY,INDIANA,no,216843.11992317383,801174.5386263137,1007511,0.0,1503.25,732126.0,0.0,0.0,2537.47,0.0,0.0,0.0,0.0,0.0,0.0
1 LINDE DRIVE,CHICKASAW,MOBILE,ALABAMA,no,477799.5316881346,3736.219948070486,1000628,0.0,20.5,43571.6,0.0,0.0,24.436,0.0,0.0,0.0,0.0,0.0,0.0
1 LOCKHEED BLVD,FORT WORTH,TARRANT,TEXAS,no,63653.427175924364,406509.9924598502,1002866,0.0,12.75,26898.7,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0
1 LONE STAR PASS,SAN ANTONIO,BEXAR,TEXAS,yes,0.0,181858.50371766198,1003585,0.0,13.5,28374.3,0.0,0.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0
1 Landfill Rd,NEW MARTINSVILLE,WETZEL,WEST VIRGINIA,no,120851.72605936567,328327.4939426356,1011036,0.0,12060.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Lindbergh Road,STONY POINT,ROCKLAND,NEW YORK,no,45709.16829015209,3887.6758768466157,1006440,0.0,3461.75,64299.9,0.0,0.0,36.058,0.0,0.0,0.0,0.0,0.0,0.0
1 M SW FROM WHEATLAND ON HWY 377,WHEATLAND,TARRANT,TEXAS,no,76717.15446279333,396206.46549462515,1005845,0.0,11.0,23452.0,0.0,0.0,13.112,0.0,0.0,0.0,0.0,0.0,0.0
1 MAGNOLIA ROAD,JOPPA,HARFORD,MARYLAND,no,27490.78413102778,136.2742856880714,1005922,61980.6,1050.0,56892.8,0.0,0.0,1639.0,0.0,0.0,0.0,0.0,0.0,0.0
1 MAIN STREET,MADISON,SOMERSET,MAINE,no,292937.2622481549,82626.44749205529,1007623,0.0,81.5,82504.8,0.0,0.0,193.104,0.0,0.0,0.0,0.0,0.0,0.0
1 MAIN STREET,RANSOM,LACKAWANNA,PENNSYLVANIA,no,165189.27429690972,153130.88513416174,1003602,0.0,12.25,25807.9,0.0,0.0,14.602,0.0,0.0,0.0,0.0,0.0,0.0
1 MARKET ST,ELMWOOD PARK,BERGEN,NEW JERSEY,no,19212.731691124263,15489.66572521997,1004098,0.0,29.75,59306.8,0.0,0.0,39.038,0.0,0.0,0.0,0.0,0.0,0.0
1 MERCEDES DRIVE,VANCE,TUSCALOOSA,ALABAMA,no,269733.4804295473,282472.1914791455,1004249,0.0,19.25,40779.6,0.0,0.0,22.946,0.0,0.0,0.0,0.0,0.0,0.0
1 MINE ROAD,KEEWATIN,SAINT,MINNESOTA,no,272190.44663583516,970100.685515209,1001618,0.0,8.0,245028.4,0.0,0.0,9.536,0.0,0.0,0.0,0.0,0.0,0.0
1 NATIONAL STREET,MILFORD,WORCESTER,MASSACHUSETTS,no,34941.53497645075,35964.25048433318,1000006,0.0,17.75,43395.5,0.0,0.0,21.158,0.0,0.0,0.0,0.0,0.0,0.0
1 NEW BOND STREET,WORCESTER,WORCESTER,MASSACHUSETTS,no,58685.21266825176,61837.68988001099,1003037,0.0,106.5,68857.8,0.0,0.0,213.964,0.0,0.0,0.0,0.0,0.0,0.0
1 NORTH BROADWAY,GARY,LAKE,INDIANA,no,38807.51407686,914446.2244204497,1000418,0.0,68822.25,11369260.2,0.0,0.0,2121.462,0.0,0.0,0.0,0.0,0.0,0.0
1 NORYL AVENUE,SELKIRK,ALBANY,NEW YORK,no,193054.60344729203,141645.7241142128,1004263,0.0,20.5,43455.8,0.0,0.0,24.436,0.0,0.0,0.0,0.0,0.0,0.0
1 NSTAR Way,WESTWOOD,NORFOLK,MASSACHUSETTS,no,14157.719108303447,15230.24662562215,1001277,0.0,132746.5,583.9,0.0,0.0,0.298,0.0,0.0,0.0,0.0,0.0,0.0
1 Normal Avenue,MONTCLAIR,ESSEX,NEW JERSEY,no,21418.09189824583,17379.669623111306,1002987,0.0,16.25,34065.4,0.0,0.0,19.966,0.0,0.0,0.0,0.0,0.0,0.0
1 North Broadway,GARY,LAKE,INDIANA,no,38574.48815389285,915004.045649116,1000895,0.0,14.0,29929.0,0.0,0.0,16.688,0.0,0.0,0.0,0.0,0.0,0.0
1 North Carmeuse Drive,GARY,LAKE,INDIANA,no,31823.127508110727,921701.984271265,1004187,0.0,1507.75,1099729.0,0.0,0.0,2612.566,0.0,0.0,0.0,0.0,0.0,0.0
1 PLASTICS DR,BURKVILLE,LOWNDES,ALABAMA,no,253686.0321045565,195483.41411223263,1001136,0.0,151.75,326631.1,0.0,0.0,180.886,0.0,0.0,0.0,0.0,0.0,0.0
1 POWER PLANT ROAD,SUNNYSIDE,CARBON,UTAH,no,189472.4361609272,938849.3657952793,1004953,0.0,1422.75,532954.0,0.0,0.0,2473.698,0.0,0.0,0.0,0.0,0.0,0.0
1 PULEHU ROAD,PUUNENE,MAUI,HAWAII,no,3760488.147458682,6391.5847884278655,1005313,0.0,23300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Parr Road Blvd,RICHMOND,CONTRA,CALIFORNIA,yes,0.0,946.8237172481814,1005195,20677.0,14339.25,0.0,0.0,0.0,74.5,0.0,0.0,0.0,0.0,0.0,0.0
1 Penitentiary Lane,CHRISTIANSTED,ST.,VIRGIN ISLANDS,no,163445.904670444,988.5476237922801,1008001,0.0,396.75,387236.0,0.0,0.0,941.978,0.0,0.0,0.0,0.0,0.0,0.0
1 QUALITY DRIVE,ECORSE,WAYNE,MICHIGAN,no,11385.896629107516,632579.3871476059,1001834,0.0,236.0,4117092.8,0.0,0.0,708.942,0.0,0.0,0.0,0.0,0.0,0.0
1 Riverside Plaza,COLUMBUS,WASHINGTON,OHIO,yes,0.0,393000.0632724078,1003708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123781.2,0.0
1 Riverwood Drive,MONCKS CORNER,BERKELEY,SOUTH CAROLINA,no,237701.92211136283,38661.707563641896,1009719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5946.24,0.0
1 Rock Island Arsenal,ROCK ISLAND,ROCK,ILLINOIS,no,238515.15784689836,1167191.9384579181,1002814,0.0,144.5,54057.1,0.0,0.0,249.426,0.0,0.0,0.0,0.0,0.0,0.0
1 SHERIDAN DRIVE,TONAWANDA,ERIE,NEW YORK,no,281235.8616892301,405347.39096921193,1001242,0.0,13.75,29229.7,0.0,0.0,16.39,0.0,0.0,0.0,0.0,0.0,0.0
1 SHIELDS AVENUE,DAVIS,YOLO,CALIFORNIA,no,24330.887089490807,44348.59078229099,1002726,313.1,30.0,61880.5,0.0,0.0,36.952,0.0,0.0,0.0,0.0,0.0,0.0
1 SIMONPIETRI DRIVE,NEWPORT,NEWPORT,RHODE ISLAND,no,34885.63404081998,1374.2105460635457,1001724,0.0,13.5,22052.6,0.0,0.0,23.542,0.0,0.0,0.0,0.0,0.0,0.0
1 SOUTHWIRE DRIVE,CARROLLTON,CARROLL,GEORGIA,no,63654.973664312485,357241.06074034685,1003338,0.0,16.5,31060.7,0.0,0.0,23.244,0.0,0.0,0.0,0.0,0.0,0.0
1 STEEL MILL ROAD,SEGUIN,GUADALUPE,TEXAS,no,49173.47330818525,163892.19910839395,1004259,0.0,21.25,206701.5,0.0,0.0,25.33,0.0,0.0,0.0,0.0,0.0,0.0
1 Salmon Lane,AKUTAN,ALEUTIANS,ALASKA,no,3176133.5944941025,524.1531751201852,1010624,5617.3,53.0,43758.7,0.0,0.0,118.604,0.0,0.0,0.0,0.0,0.0,0.0
1 UNIVERSITY CIR,MACOMB,MCDONOUGH,ILLINOIS,no,209458.11817817483,1114568.4061211895,1004271,0.0,49.0,36088.9,0.0,0.0,78.672,0.0,0.0,0.0,0.0,0.0,0.0
1 USG Road,SWEETWATER,NOLAN,TEXAS,no,337012.0960331307,548269.8907000077,1006965,0.0,21.25,45251.5,0.0,0.0,26.82,0.0,0.0,0.0,0.0,0.0,0.0
1 UTILITY PARKWAY,CEDAR FALLS,BLACK,IOWA,no,279849.0706968644,1284240.1440037324,1001556,22.5,72.25,28094.0,0.0,0.0,123.968,0.0,0.0,0.0,0.0,0.0,0.0
1 Utility Parkway,CEDAR FALLS,BLACK,IOWA,no,279749.78575696074,1284254.6768790528,1007941,0.0,1027.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 VALERO PLACE,AURORA,BROOKINGS,SOUTH DAKOTA,no,282995.9089321495,1397444.3539892882,1003779,222.0,137.5,202162.0,0.0,0.0,114.134,0.0,0.0,0.0,0.0,0.0,0.0
1 WAREHOUSE ROAD,COLSTRIP,ROSEBUD,MONTANA,no,698002.3344856746,1213031.5186066595,1001020,0.0,38384.5,13991414.3,0.0,0.0,66558.598,0.0,0.0,0.0,0.0,0.0,0.0
1 WOODLAWN ROAD,ALIQUIPPA,BEAVER,PENNSYLVANIA,no,30502.801258674812,331422.4769713831,1000134,0.0,21.25,45318.3,0.0,0.0,26.82,0.0,0.0,0.0,0.0,0.0,0.0
1.5 M N OF DENVER CITY ON SH 214,DENVER CITY,YOAKUM,TEXAS,no,562678.9557484863,755117.6541526996,1005858,0.0,16767.5,139894.6,0.0,0.0,94.168,0.0,0.0,0.0,0.0,0.0,0.0
1/4 MI E OF HWY81 ON SW29TH,UNION CITY,CANADIAN,OKLAHOMA,no,325083.4262618041,699462.2282976627,1006219,0.0,55123.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10 ADAMS STREET - UPPER BASIN,LYNCHBURG,LYNCHBURG,VIRGINIA,no,146392.3882209101,163739.96769153012,1003289,0.0,82.5,42506.0,0.0,0.0,140.06,0.0,0.0,0.0,0.0,0.0,0.0
10 ATLANTIC ST,BRIDGEPORT,FAIRFIELD,CONNECTICUT,no,67174.90967294639,20.70877386481953,1001299,0.0,512.5,1104758.6,0.0,0.0,610.9,0.0,0.0,0.0,0.0,0.0,0.0
10 E. Bridge St  Suite 200,ROCKFORD,KENT,MICHIGAN,no,194920.54794010607,851066.0028832564,1008348,0.0,77398.25,44146.6,0.0,0.0,24.436,0.0,0.0,0.0,0.0,0.0,0.0
10 ERIE ROAD,EASTLAKE,LAKE,OHIO,no,29351.880782269258,481795.65374552127,1006952,0.0,1671.25,6358430.7,0.0,0.0,31861.266,0.0,0.0,0.0,0.0,0.0,0.0
10 EXETER DR  STERLING INDUSTRIAL PARK,STERLING,WINDHAM,CONNECTICUT,no,35506.08447337896,31288.38898710078,1006870,0.0,1124.75,150220.5,0.0,0.0,1773.1,0.0,0.0,0.0,0.0,0.0,0.0
10 Environmental Loop south,WINTER HAVEN,POLK,FLORIDA,no,59538.45937397265,57883.05672789832,1006859,3120.9,369070.0,368.9,0.0,0.0,11.92,0.0,0.0,0.0,0.0,0.0,0.0
10 GUM STREET,FERNANDINA BEACH,NASSAU,FLORIDA,no,41552.860425032304,3713.6328024201725,1001906,727472.3,6049.75,29674.3,0.0,0.0,10860.014,0.0,0.0,0.0,0.0,0.0,0.0
10 HIGHLAND AVENUE,CHESTER,DELAWARE,PENNSYLVANIA,no,29470.327005517636,1114.611967112859,1006038,478821.4,7100.25,330833.0,0.0,0.0,11107.652,0.0,0.0,0.0,0.0,0.0,0.0
10 HOOK ROAD,BAYONNE,HUDSON,NEW JERSEY,no,13663.721033333382,567.6742507818273,1001246,0.0,80.0,171031.8,0.0,0.0,97.446,0.0,0.0,0.0,0.0,0.0,0.0
10 LEONARDS LN,THOROFARE,GLOUCESTER,NEW JERSEY,no,19272.18682111665,1630.9161461218425,1002925,0.0,9.0,19181.3,0.0,0.0,10.728,0.0,0.0,0.0,0.0,0.0,0.0
10 Miles E. of Madill on Hwy 199,MADILL,MARSHALL,OKLAHOMA,no,145052.111193619,503948.53209018125,1005489,0.0,444.0,52415.2,0.0,0.0,35.164,0.0,0.0,0.0,0.0,0.0,0.0
10 OUTER DRIVE,SILVER BAY,LAKE,MINNESOTA,no,300919.3333450154,861303.2936502901,1005276,0.0,3069.75,1014308.7,0.0,0.0,5321.982,0.0,0.0,0.0,0.0,0.0,0.0
10 SHERIDAN DRIVE,TONAWANDA,ERIE,NEW YORK,no,280913.5494969156,405670.0863999939,1003427,0.0,14.25,30448.0,0.0,0.0,16.986,0.0,0.0,0.0,0.0,0.0,0.0
10 SHERWOOD LANE,CHARLTON,WORCESTER,MASSACHUSETTS,no,58826.04034008524,60971.36697905595,1001307,0.0,428.5,924101.5,0.0,0.0,510.772,0.0,0.0,0.0,0.0,0.0,0.0
100 17TH ST,VERO BEACH,INDIAN,FLORIDA,no,133134.29592235736,297.18383988436835,1001502,0.0,4.0,8516.4,0.0,0.0,4.768,0.0,0.0,0.0,0.0,0.0,0.0
100 8th Street,CHARLEROI,WASHINGTON,PENNSYLVANIA,no,33850.73069877874,278396.44661818753,1009530,0.0,11.25,30591.6,0.0,0.0,13.708,0.0,0.0,0.0,0.0,0.0,0.0
100 ABBOTT PARK RD,ABBOTT PARK,LAKE,ILLINOIS,no,54623.67571554497,984059.8873510123,1002983,0.0,88.5,75577.5,0.0,0.0,139.464,0.0,0.0,0.0,0.0,0.0,0.0
100 ADDINGTON RD,ASHLAND,BOYD,KENTUCKY,no,168266.42687745084,471330.0789294874,1004483,0.0,62552.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100 AECC Road,FULTON,HEMPSTEAD,ARKANSAS,no,290167.3420421162,403437.44424472953,1001152,0.0,24.25,53962.2,0.0,0.0,28.906,0.0,0.0,0.0,0.0,0.0,0.0
100 AVENUE C,RIVERSIDE,MONTOUR,PENNSYLVANIA,yes,0.0,163177.77915533597,1004150,0.0,16.0,37184.8,0.0,0.0,21.158,0.0,0.0,0.0,0.0,0.0,0.0
100 BIG HOLLOW ROAD,FESTUS,JEFFERSON,MISSOURI,no,56657.17754005547,850804.2575774033,1001035,0.0,22195.0,7679220.2,0.0,0.0,38482.23,0.0,0.0,0.0,0.0,0.0,0.0
100 BUSCH DR.,CARTERSVILLE,BARTOW,GEORGIA,no,64389.16657708933,410385.7293956852,1006904,4758.4,22.0,31326.3,0.0,0.0,35.76,0.0,0.0,0.0,0.0,0.0,0.0
100 Baler Boulevard,NORTH ARLINGTON,BERGEN,NEW JERSEY,no,13161.517307499698,6463.513005875857,1009137,0.0,64960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100 CALPINE WAY,GASTON,CALHOUN,SOUTH CAROLINA,no,150724.50351806788,149209.36115175037,1006999,0.0,74.5,159030.8,0.0,0.0,88.804,0.0,0.0,0.0,0.0,0.0,0.0
100 CASPIAN AVENUE,VOLGA,BROOKINGS,SOUTH DAKOTA,no,296620.99763722706,1397169.8310852263,1006874,0.0,16.25,34681.7,0.0,0.0,19.37,0.0,0.0,0.0,0.0,0.0,0.0
100 CENTER ST,JOHNSONBURG,ELK,PENNSYLVANIA,no,160073.18659062122,303061.1090503416,1005706,496922.7,4958.25,385123.1,0.0,0.0,9539.874,0.0,0.0,0.0,0.0,0.0,0.0
100 CHURCH ST SE STE 202,MINNEAPOLIS,HENNEPIN,MINNESOTA,yes,0.0,1135235.2365336225,1003819,1368.6,185.0,159447.6,0.0,0.0,289.358,0.0,0.0,0.0,0.0,0.0,0.0
100 CLEARFIELD ROAD,CABOT,BUTLER,PENNSYLVANIA,no,46027.961658578955,307868.15600843076,1006785,0.0,276.5,125813.2,0.0,0.0,479.78,0.0,0.0,0.0,0.0,0.0,0.0
